p_val;avg_log2FC;pct.1;pct.2;p_val_adj;cluster;gene
1.11526723234631E-08;0.65355148207848;0.266;0.236;0.000360064025963;Naive;Bcl2
2.91126247810226E-08;0.435176021337892;0.502;0.558;0.000939901091055;Naive;Eef1g
6.29863810298691E-08;0.446278009658407;0.517;0.59;0.002033515311549;Naive;Cox7a2l
1.03123869696771E-07;0.537933458582114;0.416;0.445;0.00332935413316;Naive;Hspe1
6.0298439374146E-07;0.54284252470762;0.18;0.148;0.019467351151943;Naive;Txk
1.18555263126015E-06;0.572396318726159;0.191;0.159;0.038275566700234;Naive;S1pr1
0;1.53694161254066;0.492;0.097;0;TexProg;Slamf6
0;1.3252456633456;0.398;0.038;0;TexProg;Tcf7
0;1.16776011021;0.228;0.008;0;TexProg;Id3
0;0.608770517830279;0.999;0.988;0;TexProg;Rps12
0;0.553971234038759;0.999;0.992;0;TexProg;Rps20
0;0.493556755633511;1;0.998;0;TexProg;Rplp1
3.05752892166542E-272;0.453942856403209;1;0.997;9.87123212359681E-268;TexProg;Rps18
1.68268344701142E-271;0.413187464548027;1;0.999;5.43254350867637E-267;TexProg;Rpl13
8.85938464543257E-261;0.451500374778099;1;0.997;2.8602523327779E-256;TexProg;Rplp0
4.13079557529278E-243;0.439917070480861;1;0.997;1.33362735148327E-238;TexProg;Rpl27a
1.86236358035722E-238;0.41212443555153;0.999;0.998;6.01264081918328E-234;TexProg;Rpsa
7.3086479771834E-238;1.05827684249714;0.163;0.016;2.35959699943366E-233;TexProg;Xcl1
1.0175174324053E-237;0.556170346316705;0.999;0.977;3.2850550305205E-233;TexProg;Rps28
8.02305203688698E-237;0.409613036151016;1;0.998;2.59024235010896E-232;TexProg;Rpl23
4.60216474187668E-220;0.629553668029201;0.135;0.011;1.48580888691489E-215;TexProg;Tnfsf8
6.05511052845638E-220;1.15502443918703;0.452;0.15;1.95489243411214E-215;TexProg;2310001H17Rik
1.00247799925856E-216;0.347528095409141;1;1;3.23650022060625E-212;TexProg;Rpl32
6.07100915346571E-214;0.41641318261644;0.998;0.993;1.9600253051964E-209;TexProg;Rps27a
3.71870938276627E-201;0.41506884128091;1;0.995;1.20058532422609E-196;TexProg;Rps29
5.62165260422744E-194;0.892236582469468;0.865;0.589;1.81495054327483E-189;TexProg;Gas5
