p_val;avg_log2FC;pct.1;pct.2;p_val_adj;cluster;gene
0,00000000000000e+00;4.38927548294678;0.998;0.086;0;TexProl;Hist1h1b
0,00000000000000e+00;2.83310112761827;0.941;0.163;0;TexProl;Hist1h4d
0,00000000000000e+00;2.61488198710964;0.968;0.29;0;TexProl;Hist1h1e
0,00000000000000e+00;2.5685442275002;0.835;0.028;0;TexProl;Hist1h2ae
0,00000000000000e+00;2.45810385011173;0.912;0.127;0;TexProl;Pclaf
0,00000000000000e+00;2.33367588164098;0.844;0.076;0;TexProl;Top2a
0,00000000000000e+00;2.28197118357934;0.777;0.021;0;TexProl;Hist1h2ap
0,00000000000000e+00;2.16465371678092;0.916;0.179;0;TexProl;Tuba1b
0,00000000000000e+00;2.09634997382237;0.718;0.045;0;TexProl;Hist2h2ac
0,00000000000000e+00;1.90939788293501;0.666;0.031;0;TexProl;Hist1h1d
0,00000000000000e+00;1.87736093206868;0.704;0.085;0;TexProl;H2afx
0,00000000000000e+00;1.86802776121735;0.643;0.041;0;TexProl;Rrm2
0,00000000000000e+00;1.85201375497257;0.63;0.023;0;TexProl;Hist1h3c
0,00000000000000e+00;1.74214069140505;0.707;0.088;0;TexProl;Mki67
0,00000000000000e+00;1.63230111608123;0.558;0.022;0;TexProl;Nusap1
0,00000000000000e+00;1.57159524652613;0.553;0.041;0;TexProl;Cdk1
0,00000000000000e+00;1.52260856664558;0.537;0.028;0;TexProl;Hist1h3e
0,00000000000000e+00;1.47140298770938;0.53;0.038;0;TexProl;Prc1
0,00000000000000e+00;1.43757026104995;0.637;0.086;0;TexProl;Smc2
0,00000000000000e+00;1.42768929119981;0.472;0.016;0;TexProl;Hist2h2bb
0,00000000000000e+00;1.37781072101218;0.46;0.014;0;TexProl;Hist1h1a
0,00000000000000e+00;1.37318232383735;0.481;0.007;0;TexProl;Hist1h2ab
0,00000000000000e+00;1.37182968299971;0.512;0.031;0;TexProl;Hist1h2bj
0,00000000000000e+00;1.34063562218754;0.485;0.022;0;TexProl;Fbxo5
0,00000000000000e+00;1.24456522959144;0.485;0.04;0;TexProl;Clspn
0,00000000000000e+00;1.22258450923826;0.499;0.049;0;TexProl;Asf1b
0,00000000000000e+00;1.21129631469705;0.393;0.009;0;TexProl;Esco2
0,00000000000000e+00;1.17989970848811;0.454;0.038;0;TexProl;Ccna2
0,00000000000000e+00;1.15393291436374;0.409;0.022;0;TexProl;Aurkb
0,00000000000000e+00;1.06884348455366;0.359;0.017;0;TexProl;Kif11
0,00000000000000e+00;1.05073429734338;0.321;0.013;0;TexProl;Mxd3
0,00000000000000e+00;1.00900822218926;0.381;0.011;0;TexProl;Hist1h2bm
0,00000000000000e+00;0.963368126948619;0.287;0.005;0;TexProl;Hist1h2af
0,00000000000000e+00;0.946892147913247;0.318;0.009;0;TexProl;Hist1h2ak
0,00000000000000e+00;0.914797745076355;0.318;0.014;0;TexProl;Spc25
0,00000000000000e+00;0.782049987081051;0.269;0.013;0;TexProl;Sgo1
0,00000000000000e+00;0.753253284907045;0.278;0.01;0;TexProl;Hist1h3i
0,00000000000000e+00;0.716031190416045;0.262;0.012;0;TexProl;Hist1h4h
0,00000000000000e+00;0.642145405478118;0.212;0.006;0;TexProl;Hist1h3f
0,00000000000000e+00;0.620536410204952;0.205;0.007;0;TexProl;Ccnf
0,00000000000000e+00;0.533807925775922;0.169;0.003;0;TexProl;Hist1h2bn
1,78737677338384e-277;1.40086218464605;0.603;0.082;5.77054591286971E-287;TexProl;Lig1
2,30982504981896e-277;0.528248337188947;0.174;0.005;7.4572701733405E-287;TexProl;Hist1h2bb
5,60823404635136e-274;0.940906460902088;0.332;0.024;1.81061836186454E-283;TexProl;Kif15
6,10719762268935e-272;0.518652393088527;0.156;0.004;1.97170875248526E-281;TexProl;Hist2h2aa1
1,13786281180725e-260;0.680820506683484;0.23;0.011;3.67359008791971E-270;TexProl;Cdca5
7,75582552405637e-258;1.34830792387388;0.585;0.082;2.5039682704416E-267;TexProl;Tyms
1,43150846878697e-248;1.27472662250333;0.553;0.075;4.62162509147875E-258;TexProl;Spc24
5,77981146096691e-248;0.826882720067707;0.314;0.023;1.86601213017317E-257;TexProl;Knl1
1,16130953101726e-243;0.708122674786576;0.251;0.014;3.74928782088922E-253;TexProl;Shcbp1
1,63557456470317e-235;0.663196476638593;0.228;0.012;5.28045248214417E-245;TexProl;Cdca2
1,22133867881081e-233;1.13289519108425;0.494;0.063;3.94309192454069E-243;TexProl;Tk1
1,45975753491826e-232;0.636732349942869;0.228;0.012;4.7128272014836E-242;TexProl;Sgo2a
1,77997082305750e-233;0.725800292073659;0.266;0.017;5.74663580224115E-242;TexProl;Ncaph
1,08692792135478e-230;1.08602700123844;0.479;0.06;3.50914679409392E-240;TexProl;Rrm1
1,37903063192380e-230;0.623768202443507;0.208;0.01;4.45220039516598E-239;TexProl;E2f8
6,91216773296834e-229;1.47887088515065;0.677;0.123;2.23159335258883E-238;TexProl;Tmpo
5,30361689304352e-226;1.27084114823036;0.56;0.083;1.7122727139191E-235;TexProl;Cdca8
4,05494070235336e-223;0.796610537930407;0.296;0.023;1.30913760575478E-232;TexProl;Rad51
1,11595948654348e-222;1.01472607384904;0.422;0.048;3.60287520230564E-232;TexProl;Incenp
2,19192064874021e-222;0.862427067328396;0.336;0.03;7.07661581445776E-232;TexProl;Kif22
8,20281510782079e-221;0.662082091796738;0.246;0.015;2.64827885755994E-230;TexProl;Ckap2l
8,92124710325910e-222;0.483896095787664;0.153;0.005;2.8802246272872E-230;TexProl;Pbk
2,69798776374760e-217;0.823129108418742;0.332;0.03;8.71045349525914E-226;TexProl;Kif23
1,40180721009603e-214;0.777328629820753;0.262;0.019;4.52573457779504E-224;TexProl;Rad51ap1
2,51210255822718e-211;0.728584097836645;0.257;0.018;8.11032310923646E-221;TexProl;Hist1h2be
6,43835108174744e-204;0.563312604300998;0.201;0.011;2.07862164674216E-213;TexProl;Mis18bp1
4,48506180042685e-202;0.860959104959943;0.341;0.034;1.44800220226781E-211;TexProl;Ndc80
6,08102869208903e-199;1.85523928644662;0.964;0.393;1.96326011324094E-208;TexProl;Tubb5
2,50339212725135e-194;1.20166156586534;0.379;0.044;8.08220148283099E-204;TexProl;Cenpf
1,07502854937844e-186;0.765337343473092;0.242;0.018;3.47072967166829E-196;TexProl;Ncapg
